source,rule,severity,category,file,line,symbol,description,evidence
ast,AST006,medium,api,traigent/bridges/js_bridge.py,277,stop,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def stop(..., timeout, ...)"
ast,AST006,medium,api,traigent/bridges/js_bridge.py,369,ping,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def ping(..., timeout, ...)"
ast,AST006,medium,api,traigent/bridges/js_bridge.py,405,run_trial,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def run_trial(..., timeout, ...)"
ast,AST006,medium,api,traigent/bridges/js_bridge.py,499,_send_request,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def _send_request(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/bridges/process_pool.py,192,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/bridges/process_pool.py,321,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/bridges/process_pool.py,340,run_trial,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def run_trial(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/cli/auth_commands.py,679,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/cli/main.py,67,_print_optimization_header,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _print_optimization_header(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cli/main.py,67,_print_optimization_header,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def _print_optimization_header(..., timeout, ...)"
ast,AST006,medium,api,traigent/cli/main.py,126,_build_optimize_kwargs,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _build_optimize_kwargs(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cli/main.py,126,_build_optimize_kwargs,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def _build_optimize_kwargs(..., timeout, ...)"
ast,AST006,medium,api,traigent/cli/main.py,153,_display_optimization_result,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _display_optimization_result(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cli/main.py,315,_run_single_optimization,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _run_single_optimization(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cli/main.py,475,optimize,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def optimize(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cli/main.py,475,optimize,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def optimize(..., timeout, ...)"
pattern,PATTERN010,low,maintainability,traigent/cloud/api_operations.py,623,,Marker indicates unfinished or brittle implementation.,"# TODO: Once backend adds workflow_metadata field, send via that endpoint"
ast,AST006,medium,api,traigent/cloud/api_operations.py,265,_build_session_payload,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _build_session_payload(..., max_trials, ...)"
ast,AST001,medium,maintainability,traigent/cloud/api_operations.py,490,update_config_run_measures,Very long function; what-if reasoning may miss edge cases.,function_len=175
ast,AST006,medium,api,traigent/cloud/api_operations.py,861,create_backend_agent_experiment,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_backend_agent_experiment(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/backend_client.py,135,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST006,medium,api,traigent/cloud/backend_client.py,474,create_privacy_optimization_session,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_privacy_optimization_session(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/backend_client.py,494,_deprecated_create_privacy_optimization_session,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _deprecated_create_privacy_optimization_session(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/backend_client.py,544,start_agent_optimization,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def start_agent_optimization(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/backend_client.py,904,_create_backend_agent_experiment,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _create_backend_agent_experiment(..., max_trials, ...)"
pattern,PATTERN004,medium,resilience,traigent/cloud/backend_synchronizer.py,463,,Infinite loop requires explicit exit/cancel safeguards.,while True:
ast,AST001,medium,maintainability,traigent/cloud/backend_synchronizer.py,460,_process_sync_queue,Very long function; what-if reasoning may miss edge cases.,function_len=157
pattern,PATTERN004,medium,resilience,traigent/cloud/billing.py,1118,,Infinite loop requires explicit exit/cancel safeguards.,while True:
ast,AST006,medium,api,traigent/cloud/client.py,73,create_session,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_session(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/client.py,258,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST006,medium,api,traigent/cloud/client.py,589,optimize_function,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def optimize_function(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/client.py,743,_fallback_optimization,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _fallback_optimization(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/client.py,872,create_session,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_session(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/client.py,960,create_optimization_session,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_optimization_session(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/client.py,1401,optimize_agent,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def optimize_agent(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/cloud_operations.py,39,start_agent_optimization,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def start_agent_optimization(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/dtos.py,560,create_local_experiment,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_local_experiment(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/dtos.py,589,create_local_experiment_run,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_local_experiment_run(..., max_trials, ...)"
pattern,PATTERN004,medium,resilience,traigent/cloud/optimizer_client.py,367,,Infinite loop requires explicit exit/cancel safeguards.,while True:
ast,AST006,medium,api,traigent/cloud/production_mcp_client.py,486,start_experiment_run,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def start_experiment_run(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/resilient_client.py,365,resilient_backend_request,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def resilient_backend_request(..., timeout, ...)"
ast,AST006,medium,api,traigent/cloud/service.py,237,_run_enhanced_optimization,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _run_enhanced_optimization(..., max_trials, ...)"
ast,AST006,medium,api,traigent/cloud/service.py,383,create_optimization_request,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_optimization_request(..., max_trials, ...)"
pattern,PATTERN005,medium,resilience,traigent/cloud/session_operations.py,113,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover - defensive
pattern,PATTERN005,medium,resilience,traigent/cloud/session_operations.py,150,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover - defensive
pattern,PATTERN005,medium,resilience,traigent/cloud/session_operations.py,385,,Broad exception catch may hide failure modes.,except Exception:
ast,AST001,medium,maintainability,traigent/cloud/session_operations.py,183,create_session,Very long function; what-if reasoning may miss edge cases.,function_len=243
pattern,PATTERN008,medium,determinism,traigent/cloud/sessions.py,814,,Random behavior without explicit seed can reduce reproducibility.,config[param] = random.choice(space)
pattern,PATTERN008,medium,determinism,traigent/cloud/sessions.py,819,,Random behavior without explicit seed can reduce reproducibility.,"config[param] = random.randint(min_val, max_val)"
pattern,PATTERN008,medium,determinism,traigent/cloud/sessions.py,821,,Random behavior without explicit seed can reduce reproducibility.,"config[param] = random.uniform(min_val, max_val)"
ast,AST006,medium,api,traigent/cloud/sessions.py,550,create_session,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_session(..., max_trials, ...)"
pattern,PATTERN008,medium,determinism,traigent/cloud/subset_selection.py,228,,Random behavior without explicit seed can reduce reproducibility.,selected_indices.append(random.choice(list(remaining_indices)))
pattern,PATTERN008,medium,determinism,traigent/cloud/subset_selection.py,253,,Random behavior without explicit seed can reduce reproducibility.,first_idx = random.choice(list(remaining_indices))
pattern,PATTERN005,medium,resilience,traigent/cloud/trial_operations.py,66,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover - defensive
pattern,PATTERN005,medium,resilience,traigent/cloud/trial_operations.py,103,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover - defensive logging only
pattern,PATTERN005,medium,resilience,traigent/cloud/trial_operations.py,352,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/cloud/trial_operations.py,928,,Broad exception catch may hide failure modes.,except Exception:
ast,AST001,medium,maintainability,traigent/cloud/trial_operations.py,518,submit_trial_result_via_session,Very long function; what-if reasoning may miss edge cases.,function_len=154
ast,AST001,medium,maintainability,traigent/config/providers.py,400,_seamless_run,Very long function; what-if reasoning may miss edge cases.,function_len=162
pattern,PATTERN005,medium,resilience,traigent/config/seamless_optuna_adapter.py,76,,Broad exception catch may hide failure modes.,except Exception:  # noqa: BLE001
pattern,PATTERN011,medium,config,traigent/config/types.py,127,,Global env mutation can leak state across calls/tests.,">>> os.environ[""TRAIGENT_DISABLED""] = ""1"""
pattern,PATTERN005,medium,resilience,traigent/core/backend_session_manager.py,863,,Broad exception catch may hide failure modes.,except Exception:
ast,AST001,medium,maintainability,traigent/core/backend_session_manager.py,360,_log_trial_to_backend,Very long function; what-if reasoning may miss edge cases.,function_len=169
ast,AST001,medium,maintainability,traigent/core/backend_session_manager.py,530,update_weighted_scores,Very long function; what-if reasoning may miss edge cases.,function_len=197
pattern,PATTERN005,medium,resilience,traigent/core/config_state_manager.py,236,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/core/cost_estimator.py,65,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/core/cost_estimator.py,28,__init__,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def __init__(..., max_trials, ...)"
ast,AST006,medium,api,traigent/core/evaluator_wrapper.py,41,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST001,medium,maintainability,traigent/core/evaluator_wrapper.py,365,evaluate,Very long function; what-if reasoning may miss edge cases.,function_len=175
pattern,PATTERN005,medium,resilience,traigent/core/logger_facade.py,53,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/core/logger_facade.py,81,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/core/logger_facade.py,92,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/core/logger_facade.py,113,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/core/logger_facade.py,127,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/core/optimization_pipeline.py,370,create_effective_evaluator,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def create_effective_evaluator(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/core/optimized_function.py,1414,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/core/optimized_function.py,1568,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/core/optimized_function.py,795,_process_tvl_options,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _process_tvl_options(..., max_trials, ...)"
ast,AST006,medium,api,traigent/core/optimized_function.py,795,_process_tvl_options,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def _process_tvl_options(..., timeout, ...)"
ast,AST006,medium,api,traigent/core/optimized_function.py,998,optimize,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def optimize(..., max_trials, ...)"
ast,AST006,medium,api,traigent/core/optimized_function.py,1109,optimize_sync,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def optimize_sync(..., max_trials, ...)"
ast,AST006,medium,api,traigent/core/optimized_function.py,1109,optimize_sync,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def optimize_sync(..., timeout, ...)"
ast,AST006,medium,api,traigent/core/optimized_function.py,1295,_create_effective_evaluator,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def _create_effective_evaluator(..., timeout, ...)"
ast,AST006,medium,api,traigent/core/optimized_function.py,1327,_build_optimization_orchestrator,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _build_optimization_orchestrator(..., max_trials, ...)"
ast,AST006,medium,api,traigent/core/optimized_function.py,1327,_build_optimization_orchestrator,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def _build_optimization_orchestrator(..., timeout, ...)"
ast,AST006,medium,api,traigent/core/optimized_function.py,1451,_try_cloud_execution,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def _try_cloud_execution(..., timeout, ...)"
ast,AST001,medium,maintainability,traigent/core/optimized_function.py,1513,_execute_optimization,Very long function; what-if reasoning may miss edge cases.,function_len=171
ast,AST006,medium,api,traigent/core/optimized_function.py,1685,_optimize_with_cloud_service,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def _optimize_with_cloud_service(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/core/orchestrator.py,499,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/core/orchestrator.py,1307,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN004,medium,resilience,traigent/core/orchestrator.py,1741,,Infinite loop requires explicit exit/cancel safeguards.,while True:
ast,AST006,medium,api,traigent/core/orchestrator.py,108,__init__,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def __init__(..., max_trials, ...)"
ast,AST006,medium,api,traigent/core/orchestrator.py,108,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
pattern,PATTERN004,medium,resilience,traigent/core/samplers/__init__.py,22,,Infinite loop requires explicit exit/cancel safeguards.,while True:
pattern,PATTERN005,medium,resilience,traigent/core/tracing.py,295,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/core/tracing.py,202,optimization_session_span,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def optimization_session_span(..., max_trials, ...)"
ast,AST006,medium,api,traigent/core/tracing.py,202,optimization_session_span,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def optimization_session_span(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/core/trial_lifecycle.py,227,,Broad exception catch may hide failure modes.,except Exception:
ast,AST001,medium,maintainability,traigent/core/trial_lifecycle.py,83,run_sequential_trial,Very long function; what-if reasoning may miss edge cases.,function_len=159
pattern,PATTERN008,medium,determinism,traigent/core/types.py,260,,Random behavior without explicit seed can reduce reproducibility.,config[param.name] = random.uniform(*param.bounds)
pattern,PATTERN008,medium,determinism,traigent/core/types.py,262,,Random behavior without explicit seed can reduce reproducibility.,config[param.name] = random.randint(*param.bounds)
pattern,PATTERN008,medium,determinism,traigent/core/types.py,264,,Random behavior without explicit seed can reduce reproducibility.,config[param.name] = random.choice(param.bounds)
pattern,PATTERN008,medium,determinism,traigent/core/types.py,266,,Random behavior without explicit seed can reduce reproducibility.,"config[param.name] = random.choice([True, False])"
ast,AST006,medium,api,traigent/core/workflow_trace_manager.py,32,__init__,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def __init__(..., max_trials, ...)"
pattern,PATTERN005,medium,resilience,traigent/evaluators/base.py,68,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/evaluators/base.py,1460,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/evaluators/base.py,1686,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/evaluators/base.py,583,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST006,medium,api,traigent/evaluators/base.py,2173,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST001,medium,maintainability,traigent/evaluators/base.py,2559,evaluate,Very long function; what-if reasoning may miss edge cases.,function_len=187
ast,AST006,medium,api,traigent/evaluators/hybrid_api.py,100,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/evaluators/local.py,370,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/evaluators/local.py,153,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST001,medium,maintainability,traigent/evaluators/local.py,1111,evaluate,Very long function; what-if reasoning may miss edge cases.,function_len=213
pattern,PATTERN005,medium,resilience,traigent/evaluators/metrics_tracker.py,28,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/experimental/simple_cloud/platforms/base_platform.py,78,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN004,medium,resilience,traigent/hooks/config.py,193,,Infinite loop requires explicit exit/cancel safeguards.,while True:
pattern,PATTERN004,medium,resilience,traigent/hooks/installer.py,278,,Infinite loop requires explicit exit/cancel safeguards.,while True:
pattern,PATTERN005,medium,resilience,traigent/hooks/validator.py,234,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/hybrid/http_transport.py,58,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/integrations/bedrock_client.py,321,,Broad exception catch may hide failure modes.,except Exception:  # noqa: BLE001 - defensive
pattern,PATTERN005,medium,resilience,traigent/integrations/bedrock_client.py,557,,Broad exception catch may hide failure modes.,except Exception:  # noqa: BLE001 - defensive
pattern,PATTERN005,medium,resilience,traigent/integrations/config.py,73,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/integrations/dspy_adapter.py,297,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/integrations/langchain/handler.py,699,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN009,medium,performance,traigent/integrations/langfuse/client.py,442,,Blocking sleep can stall event loops or workers.,time.sleep(poll_interval)
ast,AST006,medium,api,traigent/integrations/langfuse/client.py,218,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/integrations/model_discovery/azure_discovery.py,132,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/integrations/observability/wandb.py,269,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover - defensive
ast,AST001,medium,maintainability,traigent/integrations/observability/wandb.py,152,log_trial,Very long function; what-if reasoning may miss edge cases.,function_len=153
pattern,PATTERN005,medium,resilience,traigent/integrations/observability/workflow_traces.py,658,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/integrations/observability/workflow_traces.py,675,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
pattern,PATTERN011,medium,config,traigent/integrations/providers.py,119,,Global env mutation can leak state across calls/tests.,"os.environ[""TRAIGENT_MODELS_OPENAI_FAST""] = ""gpt-4o-mini,gpt-3.5-turbo"""
pattern,PATTERN005,medium,resilience,traigent/integrations/pydantic_ai/handler.py,100,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/integrations/pydantic_ai/handler.py,118,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/integrations/pydantic_ai/handler.py,234,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/integrations/pydantic_ai/handler.py,272,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN009,medium,performance,traigent/integrations/utils/mock_adapter.py,137,,Blocking sleep can stall event loops or workers.,time.sleep(delay_sec)
pattern,PATTERN009,medium,performance,traigent/integrations/utils/mock_adapter.py,140,,Blocking sleep can stall event loops or workers.,time.sleep(delay_sec)
ast,AST001,medium,maintainability,traigent/integrations/utils/parameter_normalizer.py,55,_init_registry,Very long function; what-if reasoning may miss edge cases.,function_len=247
pattern,PATTERN005,medium,resilience,traigent/integrations/utils/validation.py,259,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/integrations/wrappers.py,46,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/invokers/base.py,154,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST006,medium,api,traigent/invokers/batch.py,31,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST006,medium,api,traigent/invokers/local.py,33,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
pattern,PATTERN004,medium,resilience,traigent/invokers/streaming.py,194,,Infinite loop requires explicit exit/cancel safeguards.,while True:
ast,AST006,medium,api,traigent/invokers/streaming.py,37,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
pattern,PATTERN005,medium,resilience,traigent/metrics/content_scoring.py,104,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/metrics/content_scoring.py,164,,Broad exception catch may hide failure modes.,except Exception:
ast,AST006,medium,api,traigent/optimizers/batch_optimizers.py,352,optimize,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def optimize(..., max_trials, ...)"
ast,AST006,medium,api,traigent/optimizers/batch_optimizers.py,615,optimize,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def optimize(..., max_trials, ...)"
pattern,PATTERN008,medium,determinism,traigent/optimizers/bayesian.py,301,,Random behavior without explicit seed can reduce reproducibility.,"value = np.random.randint(int(bounds[0]), int(bounds[1]) + 1)"
pattern,PATTERN008,medium,determinism,traigent/optimizers/bayesian.py,304,,Random behavior without explicit seed can reduce reproducibility.,"value = np.random.uniform(bounds[0], bounds[1])"
pattern,PATTERN008,medium,determinism,traigent/optimizers/bayesian.py,309,,Random behavior without explicit seed can reduce reproducibility.,"value = np.random.choice(param[""values""])"
ast,AST001,medium,maintainability,traigent/optimizers/bayesian.py,411,suggest_next_trial,Very long function; what-if reasoning may miss edge cases.,function_len=169
ast,AST006,medium,api,traigent/optimizers/interactive_optimizer.py,158,initialize_session,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def initialize_session(..., max_trials, ...)"
pattern,PATTERN005,medium,resilience,traigent/optimizers/optuna_checkpoint.py,18,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover - optuna optional at runtime
pattern,PATTERN004,medium,resilience,traigent/optimizers/optuna_checkpoint.py,294,,Infinite loop requires explicit exit/cancel safeguards.,while True:
pattern,PATTERN005,medium,resilience,traigent/optimizers/optuna_optimizer.py,594,,Broad exception catch may hide failure modes.,"except Exception:  # pragma: no cover - defensive, optuna internal failures"
pattern,PATTERN005,medium,resilience,traigent/optimizers/optuna_optimizer.py,628,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover - defensive logging
ast,AST006,medium,api,traigent/optimizers/random.py,46,__init__,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def __init__(..., max_trials, ...)"
ast,AST006,medium,api,traigent/optimizers/random.py,261,set_max_trials,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def set_max_trials(..., max_trials, ...)"
pattern,PATTERN010,low,maintainability,traigent/optimizers/registry.py,179,,Marker indicates unfinished or brittle implementation.,# TODO: Gate these with plugin feature flag when extracted
pattern,PATTERN010,low,maintainability,traigent/optimizers/registry.py,188,,Marker indicates unfinished or brittle implementation.,)  # TODO: Gate with multi-obj plugin
