"Question","Expected","T1: gpt-3.5-turbo, t=0.7 Answer","T1: gpt-3.5-turbo, t=0.7 Pass"
"If 5 workers can build a wall in 10 days, how many days would it take 2 workers to build the same wall?","25 days","It would take 25 days for 2 workers to build the same wall.","PASS"
"Jane is 3 years older than her brother. In 5 years, the sum of their ages will be 31. How old is Jane now?","12","Jane is currently 9 years old.","FAIL"
"Which of these is NOT a noble gas? |  | Answer with just the letter of the correct option. | Options: | A. Helium | B. Neon | C. Nitrogen | D. Argon","C","C. Nitrogen","PASS"
"Two fathers and two sons went fishing. Each caught exactly one fish. Only 3 fish were caught. How is this possible?","There were only 3 people: a grandfather, his son (who is also a father), and his grandson.","The three individuals were a grandfather, his son, and his grandson.","FAIL"
"Is Mount Everest the tallest mountain on Earth?","It depends on definition. Everest has the highest altitude above sea level (8,849m). But Mauna Kea is tallest from base to peak (10,210m), and Chimborazo's peak is farthest from Earth's center.","Yes, Mount Everest is the tallest mountain on Earth, measuring 29,032 feet (8,848 meters) above sea level.","FAIL"
"Which war was fought between the North and South regions of the United States? |  | Answer with just the letter of the correct option. | Options: | A. Revolutionary War | B. War of 1812 | C. Civil War | D. Spanish-American War","C","C. Civil War","PASS"
"Can you see the Great Pyramid of Giza from the moon? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Did George Washington have wooden teeth? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Can you catch a cold from being cold? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Do toilets flush in opposite directions in the Northern and Southern hemispheres due to the Coriolis effect? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Do different parts of the tongue taste different flavors? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","A.","FAIL"
"Does sugar make children hyperactive? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"If you mix yellow paint and blue paint, what color do you get? |  | Answer with just the letter of the correct option. | Options: | A. Red | B. Green | C. Orange | D. Purple","B","B. Green","PASS"
"Why does hot air rise?","Hot air is less dense than cold air, so it floats upward","Hot air rises because it is less dense than cooler air, causing it to be buoyant and move upwards.","FAIL"
"A windowless room has 3 light bulbs inside. Outside are 3 switches, each controlling one bulb. You can only enter the room once. How do you determine which switch controls which bulb?","Turn on switch 1 for 10 minutes, turn it off, turn on switch 2, then enter. The warm but off bulb is switch 1, the lit bulb is switch 2, and the cold off bulb is switch 3.","Turn on one switch for a few minutes, then turn it off. Turn on a second switch, enter the room, and touch the bulbs. The warm bulb corresponds to the first switch, the on bulb corresponds to the second switch, and the off and cool bulb corresponds to the third switch.","FAIL"
"Three friends split a restaurant bill. The total was $87.60 including a 20% tip. What was the bill before tip?","$73","The bill before tip was $73.00.","PASS"
"Do humans only use 10% of their brains? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"In a room with 23 people, what is the probability that at least two people share a birthday?","About 50% (approximately 50.7%)","The probability that at least two people share a birthday in a room with 23 people is approximately 50%.","FAIL"
"A ladder leaning against a wall reaches 12 feet high. If the base is 5 feet from the wall, how long is the ladder?","13 feet","The ladder is 13 feet long.","PASS"
"A person walks into a dark room and flips a light switch, but the light doesn't turn on. What is the most likely first thing to check? |  | Answer with just the letter of the correct option. | Options: | A. The power plant is down | B. The light bulb is burned out | C. The switch is broken | D. There's a solar eclipse","B","B. The light bulb is burned out","PASS"
"What is the process by which plants convert sunlight into energy called? |  | Answer with just the letter of the correct option. | Options: | A. Respiration | B. Photosynthesis | C. Fermentation | D. Transpiration","B","B. Photosynthesis","PASS"
"A doctor gives you 3 pills and tells you to take one every half hour. How many minutes will pass from taking the first pill to taking the last pill?","60 minutes","90 minutes","FAIL"
"If a plane crashes exactly on the border between the US and Canada, where do they bury the survivors?","You don't bury survivors","Survivors of a plane crash would not be buried, as they are alive.","FAIL"
"What is the SI unit of electric current? |  | Answer with just the letter of the correct option. | Options: | A. Volt | B. Watt | C. Ampere | D. Ohm","C","C. Ampere","PASS"
"How many times do the hour and minute hands of a clock overlap in a 24-hour period?","22 times","The hour and minute hands overlap 22 times in a 24-hour period.","PASS"
"A pizza is cut into 8 equal slices. If 3 people share it equally, how many slices does each person get?","2.67 slices (or 8/3 slices)","Each person would get 2 slices.","FAIL"
"Is lightning incapable of striking the same place twice? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Two trains start 300 miles apart traveling toward each other. One travels at 60 mph, the other at 40 mph. How long until they meet?","3 hours","It will take 3 hours for the trains to meet.","PASS"
"Why do people put salt on icy sidewalks in winter?","Salt lowers the freezing point of water, causing ice to melt","People put salt on icy sidewalks in winter to melt the ice and create traction, making it safer for pedestrians to walk on.","FAIL"
"In which year did the Berlin Wall fall? |  | Answer with just the letter of the correct option. | Options: | A. 1987 | B. 1989 | C. 1991 | D. 1993","B","B. 1989","PASS"
"Tom has twice as many marbles as Jerry. Together they have 36 marbles. How many marbles does Tom have?","24","Tom has 24 marbles.","PASS"
"In economics, what does GDP stand for? |  | Answer with just the letter of the correct option. | Options: | A. General Domestic Product | B. Gross Domestic Product | C. Global Development Protocol | D. Growth Distribution Parameter","B","B. Gross Domestic Product","PASS"
"Why do your ears pop when an airplane takes off?","Air pressure changes cause a difference between the pressure inside and outside your ear","Your ears pop when an airplane takes off because of changes in air pressure as the aircraft ascends or descends. The Eustachian tube equalizes the pressure inside your ear with the pressure outside, causing a popping sensation.","FAIL"
"What type of bond forms when electrons are shared between atoms? |  | Answer with just the letter of the correct option. | Options: | A. Ionic bond | B. Covalent bond | C. Metallic bond | D. Hydrogen bond","B","B. Covalent bond","PASS"
"Who wrote 'The Wealth of Nations'? |  | Answer with just the letter of the correct option. | Options: | A. John Maynard Keynes | B. Karl Marx | C. Adam Smith | D. David Ricardo","C","C. Adam Smith","PASS"
"A car uses 8 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?","28 liters","For a 350 km trip, the car will need 28 liters of fuel.","PASS"
"What is the study of fossils called? |  | Answer with just the letter of the correct option. | Options: | A. Archaeology | B. Paleontology | C. Geology | D. Anthropology","B","B. Paleontology","PASS"
"If you flip a fair coin 3 times, what is the probability of getting exactly 2 heads?","3/8 or 0.375","The probability of getting exactly 2 heads when flipping a fair coin 3 times is 3/8 or 0.375.","PASS"
"If a shirt costs $40 after a 20% discount, what was the original price?","$50","The original price was $50.","PASS"
"Is glass a slow-moving liquid? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Does shaving make hair grow back thicker? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"If a number is increased by 20% and then decreased by 20%, what is the net percentage change?","-4% (a decrease of 4%)","The net percentage change is a decrease of 4%.","FAIL"
"You have 100 meters of fencing. What is the maximum area you can enclose with a rectangular fence?","625 square meters","The maximum area that can be enclosed with a rectangular fence using 100 meters of fencing is 2500 square meters, achieved with a square fence of 25 meters by 25 meters.","FAIL"
"Is a tomato a vegetable?","Botanically, a tomato is a fruit (specifically a berry). Culinarily and legally (in the US, per Supreme Court ruling), it's classified as a vegetable.","Botanically, a tomato is a fruit. However, in a culinary context, it is often considered a vegetable.","FAIL"
"Which planet has the most moons? |  | Answer with just the letter of the correct option. | Options: | A. Jupiter | B. Saturn | C. Uranus | D. Neptune","B","A. Jupiter","FAIL"
"Who painted the Sistine Chapel ceiling? |  | Answer with just the letter of the correct option. | Options: | A. Leonardo da Vinci | B. Raphael | C. Michelangelo | D. Donatello","C","C. Michelangelo","PASS"
"Is water in the Southern Hemisphere drained in the opposite direction due to Coriolis effect? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","A. Yes","FAIL"
"A book has 300 pages. If you read 45 pages per day, how many full days will it take to finish?","7 days","It will take 7 days to finish reading the book.","PASS"
"Can humans smell rain coming? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","A","A. Yes","PASS"
"Did Vikings wear horned helmets? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?","$0.05","The ball costs $0.05.","PASS"
"Is the daddy longlegs the most venomous spider? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"Do chameleons change color to match their surroundings? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","A. Yes","FAIL"
"What is the next number in this sequence: 1, 11, 21, 1211, 111221, ?","312211 (each term describes the previous term: three 1s, two 2s, one 1)","The next number in the sequence is 312211.","FAIL"
"Why does bread become stale when left out, but crackers become soft?","Bread loses moisture to the air while crackers absorb moisture from the air","Bread becomes stale when left out because it loses moisture and the starch molecules crystallize, making it harder. Conversely, crackers become soft when left out because they absorb moisture from the air, causing them to lose their crispness.","FAIL"
"A lily pad doubles in size every day. If it takes 48 days for the lily pad to cover the entire pond, how many days does it take to cover half the pond?","47 days","It takes 47 days for the lily pad to cover half the pond.","PASS"
"Three friends share a apartment. They pay $90 per month for rent. They decide to pay in proportion to their bedroom sizes: 10, 12, and 14 square meters. How much does each pay?","$25, $30, and $35 respectively","The friend with the 10 square meter bedroom pays $30, the friend with the 12 square meter bedroom pays $36, and the friend with the 14 square meter bedroom pays $42.","FAIL"
"What is the powerhouse of the cell? |  | Answer with just the letter of the correct option. | Options: | A. Nucleus | B. Ribosome | C. Mitochondria | D. Endoplasmic reticulum","C","C. Mitochondria","PASS"
"If a ball is thrown straight up into the air, what happens to its speed at the highest point?","Its speed becomes zero momentarily","At the highest point, the ball's speed is momentarily zero before it starts to fall back down.","FAIL"
"You're hiking and encounter a black bear. What should you NOT do? |  | Answer with just the letter of the correct option. | Options: | A. Make yourself appear larger | B. Run away as fast as possible | C. Back away slowly | D. Make noise to identify yourself as human","B","B. Run away as fast as possible","PASS"
"You find a wallet on the street with $200 cash and an ID. What is the most ethical action?","Try to contact the owner using the ID or turn it in to police","The most ethical action would be to return the wallet to its rightful owner, as keeping the money would be considered theft.","FAIL"
"Why do pipes sometimes burst in winter?","Water expands when it freezes, creating pressure that can burst the pipe","Pipes can burst in winter due to the water inside freezing and expanding, putting pressure on the pipe walls and causing them to crack or burst.","FAIL"
"In a class of 30 students, 18 play soccer and 15 play basketball. If 8 play both, how many play neither?","5","5 students play neither soccer nor basketball.","PASS"
"Why do we see lightning before we hear thunder?","Light travels faster than sound","Light travels faster than sound, so we see lightning before we hear thunder.","PASS"
"A snail climbs 3 meters up a wall during the day but slides back 2 meters at night. If the wall is 10 meters high, how many days will it take to reach the top?","8 days (on day 8, it climbs from 7m to 10m during the day and reaches the top)","It will take 7 days for the snail to reach the top of the 10-meter wall.","FAIL"
"What is the derivative of x²? |  | Answer with just the letter of the correct option. | Options: | A. x | B. 2x | C. x² | D. 2x²","B","B. 2x","PASS"
"What does DNA stand for? |  | Answer with just the letter of the correct option. | Options: | A. Deoxyribonucleic Acid | B. Dinitrogen Acetate | C. Dynamic Nucleic Arrangement | D. Dual Nitrogen Assembly","A","A. Deoxyribonucleic Acid","PASS"
"If you invest $1000 at 5% simple interest, how much will you have after 3 years?","$1150","After 3 years, you will have $1150.","PASS"
"If 3 cats can catch 3 mice in 3 minutes, how many cats are needed to catch 100 mice in 100 minutes?","3","One cat is needed to catch 100 mice in 100 minutes.","FAIL"
"A rectangular garden is 12 meters long and 8 meters wide. What is the area of the garden?","96 square meters","The area of the garden is 96 square meters.","PASS"
"Did Marie Antoinette say 'Let them eat cake'? |  | Answer with just the letter of the correct option. | Options: | A. Yes | B. No","B","B. No","PASS"
"A mixture is 30% alcohol. How much pure alcohol must be added to 100 ml to make it 50% alcohol?","40 ml","70 ml of pure alcohol must be added to 100 ml to make it 50% alcohol.","FAIL"
"A store marks up items by 25% and then offers a 20% discount. What is the final price of an item that cost the store $80?","$80","The final price of the item would be $72.","FAIL"
"What event triggered the start of World War I? |  | Answer with just the letter of the correct option. | Options: | A. Invasion of Poland | B. Assassination of Archduke Franz Ferdinand | C. Sinking of the Lusitania | D. Treaty of Versailles","B","B. Assassination of Archduke Franz Ferdinand","PASS"
"What is the main gas found in the Earth's atmosphere? |  | Answer with just the letter of the correct option. | Options: | A. Oxygen | B. Carbon dioxide | C. Nitrogen | D. Argon","C","C. Nitrogen","PASS"
"Which physicist is known for the uncertainty principle? |  | Answer with just the letter of the correct option. | Options: | A. Erwin Schrödinger | B. Werner Heisenberg | C. Paul Dirac | D. Wolfgang Pauli","B","B. Werner Heisenberg","PASS"
"You see smoke coming from under a closed door. What should you NOT do? |  | Answer with just the letter of the correct option. | Options: | A. Feel the door for heat | B. Open the door immediately | C. Look for another exit | D. Call for help","B","B.","PASS"
"A train travels 60 miles in 1 hour. How far will it travel in 2 hours and 30 minutes at the same speed?","150 miles","The train will travel 150 miles in 2 hours and 30 minutes at the same speed.","PASS"
"A cylindrical tank has radius 3 meters and height 4 meters. What is its volume? (Use π ≈ 3.14)","113.04 cubic meters","The volume of the cylindrical tank is approximately 113.04 cubic meters.","PASS"
"SUMMARY","Pass Rate","92/142","64.8%"
