path,category,size,modified,extension,status,action,notes
archive/migrate_tests.py,Python,8104,2025-09-10T01:41:55.211995,.py,pending,,
archive/README.md,Documentation,2399,2025-09-11T13:28:01.021305,.md,pending,,
archive/migrate_retry.py,Python,7771,2025-09-10T01:41:55.231144,.py,pending,,
utilities/debug_evaluation.py,Python,3043,2025-09-10T01:41:55.075786,.py,pending,,
utilities/analyze_my_logs.py,Python,4568,2025-09-10T01:41:55.081129,.py,pending,,
utilities/check_measures.py,Python,3825,2025-09-10T01:41:55.084957,.py,pending,,
linting/run_linters.sh,Scripts,2753,2025-09-01T18:58:57.354584,.sh,pending,,
linting/install_linters.sh,Scripts,2516,2025-09-01T18:58:57.354584,.sh,pending,,
config/mkdocs.yml,Configuration,4121,2025-09-01T18:58:57.353584,.yml,pending,,
config/mypy.ini,Configuration,1430,2025-09-01T18:58:57.353584,.ini,pending,,
config/tox.ini,Configuration,4047,2025-09-01T18:58:57.353584,.ini,pending,,
config/.pylance-settings.json,Configuration,342,2025-07-22T16:40:42.319771,.json,pending,,
config/.pre-commit-config.yaml,Configuration,2236,2025-09-03T00:55:24.142225,.yaml,pending,,
tools/claude_agent.py,Python,15277,2025-09-10T01:41:55.218714,.py,pending,,
examples/launch_control_center.py,Python,1695,2025-09-10T01:41:55.061715,.py,pending,,
examples/launch_control_center.sh,Scripts,705,2025-08-15T13:44:48.359696,.sh,pending,,
examples/run_examples.py,Python,7703,2025-09-10T01:41:55.177717,.py,pending,,
examples/README.md,Documentation,909,2025-09-11T13:41:50.270494,.md,pending,,
project_review/deprecated_patterns_report.md,Documentation,958,2025-09-11T14:25:21.470948,.md,pending,,
project_review/deprecated_patterns.csv,Data,830,2025-09-11T14:25:21.469459,.csv,pending,,
smoke/smoke_real_api_measures.py,Python,6429,2025-09-10T01:41:55.238947,.py,pending,,
workspace/open_workspace.sh,Scripts,1055,2025-09-01T18:58:57.354584,.sh,pending,,
setup/setup_auto_tuning.sh,Scripts,4728,2025-09-03T01:01:52.364513,.sh,pending,,
setup/setup_test_environment.py,Python,7323,2025-09-10T01:41:54.821832,.py,pending,,
setup/quickstart.py,Python,9652,2025-09-10T01:41:55.133443,.py,pending,,
setup/install-dev.sh,Scripts,2234,2025-08-21T16:57:04.843502,.sh,pending,,
setup/update_vulnerable_packages.sh,Scripts,1125,2025-08-30T21:10:09.729757,.sh,pending,,
setup/test_setup.py,Test,2610,2025-09-10T01:41:55.244668,.py,pending,,
setup/quickstart.sh,Scripts,1255,2025-08-17T00:16:15.631808,.sh,pending,,
analysis/find_deprecated_patterns.py,Python,7600,2025-09-10T01:41:54.960346,.py,pending,,
analysis/duplicate_detector.py,Python,6982,2025-09-10T01:41:54.993060,.py,pending,,
analysis/find_old_files.py,Python,9072,2025-09-10T01:41:55.094970,.py,pending,,
analysis/generate_file_inventory.py,Python,7829,2025-09-10T01:41:55.160948,.py,pending,,
analysis/README.md,Documentation,726,2025-09-11T13:41:22.184519,.md,pending,,
auto_tune/prepare_dataset_secure.py,Python,10616,2025-09-10T01:41:55.249830,.py,pending,,
auto_tune/generate_report.py,Python,11314,2025-09-11T13:09:47.035055,.py,pending,,
auto_tune/prepare_dataset.py,Python,4864,2025-09-10T01:41:55.263093,.py,pending,,
auto_tune/evaluate_performance.py,Python,7853,2025-09-10T01:41:55.269937,.py,pending,,
auto_tune/security_utils.py,Python,15516,2025-09-10T01:41:55.276442,.py,pending,,
auto_tune/monitoring.py,Python,16759,2025-09-10T01:41:55.281694,.py,pending,,
auto_tune/cost_tracking.json,Configuration,90,2025-09-03T10:04:28.537815,.json,pending,,
auto_tune/evaluate_performance_secure.py,Python,14766,2025-09-11T13:09:47.035721,.py,pending,,
auto_tune/tests/auto_tune/test_security_utils.py,Test,2061,2025-09-10T01:41:55.291810,.py,pending,,
