"Query","Expected","T1: gpt-3.5-turbo, k=3, chunk=500 Answer","T1: gpt-3.5-turbo, k=3, chunk=500 Pass","T2: gpt-4o, k=5, chunk=800 Answer","T2: gpt-4o, k=5, chunk=800 Pass","T3: gpt-4o, k=3, chunk=800 Answer","T3: gpt-4o, k=3, chunk=800 Pass","T4: gpt-3.5-turbo, k=3, chunk=300 Answer","T4: gpt-3.5-turbo, k=3, chunk=300 Pass","T5: gpt-3.5-turbo, k=3, chunk=800 Answer","T5: gpt-3.5-turbo, k=3, chunk=800 Pass","T6: gpt-3.5-turbo, k=2, chunk=500 Answer","T6: gpt-3.5-turbo, k=2, chunk=500 Pass","T7: gpt-4o, k=3, chunk=800 Answer","T7: gpt-4o, k=3, chunk=800 Pass","T8: gpt-4o-mini, k=3, chunk=300 Answer","T8: gpt-4o-mini, k=3, chunk=300 Pass","T9: gpt-4o, k=2, chunk=500 Answer","T9: gpt-4o, k=2, chunk=500 Pass","T10: gpt-4o, k=3, chunk=500 Answer","T10: gpt-4o, k=3, chunk=500 Pass"
"I ordered at 3pm Friday with express shipping - when will it arrive?","Ships Monday (weekend orders ship Monday), arrives Wednesday-Thursday (2-3 business days)","Since you placed your order after 2pm EST on Friday, it will ship on Monday. With Express Shipping (2-3 business days), you can expect your order to arrive by Wednesday or Thursday.","PASS","N/A","","Since you placed your order after 2pm EST on Friday, it will ship on the next business day, which is Monday. With Express Shipping (2-3 business days), you can expect your order to arrive by Wednesday at the latest.","PASS","Since you placed your order after 2pm EST on Friday, it will ship on Monday. With Express Shipping (2-3 business days), you can expect your order to arrive by Wednesday or Thursday.","PASS","Since you placed your order after 2pm EST on Friday, it will ship on Monday. With express shipping (2-3 business days), you can expect your order to arrive by Wednesday or Thursday.","PASS","N/A","","Since you placed your order after 2pm EST on Friday, it will ship on Monday. With Express Shipping (2-3 business days), you can expect your order to arrive by Wednesday or Thursday.","PASS","Since you placed your order after 2pm EST on a Friday, it will be processed the next business day (Monday). With express shipping (2-3 business days), you can expect your order to arrive by Wednesday or Thursday.","PASS","Since you placed your order after 2pm EST on Friday, it will ship on Monday. With express shipping (2-3 business days), you can expect your order to arrive by Wednesday at the latest.","PASS","N/A",""
"What payment methods can I use for an order under $35?","Credit/debit cards, PayPal, Apple Pay, Google Pay, Shop Pay, or gift cards (buy now pay later requires $35 minimum)","For orders under $35, you can use Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, Shop Pay, Affirm, Klarna, or Afterpay as payment methods.","FAIL","N/A","","For orders under $35, you can use Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, Shop Pay, Affirm (split into 4 payments), Klarna (pay in 30 days or 4 installments), or Afterpay (4 interest-free payments) as payment methods.","FAIL","For orders under $35, you can use Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, Shop Pay, Affirm (split into 4 payments), Klarna (pay in 30 days or 4 installments), or Afterpay (4 interest-free payments) as payment methods.","FAIL","For orders under $35, you can use Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, Shop Pay, Affirm, Klarna, or Afterpay as payment methods.","FAIL","N/A","","For orders under $35, you can use Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, Shop Pay, Affirm (split into 4 payments), Klarna (pay in 30 days or 4 installments), or Afterpay (4 interest-free payments) as payment methods.","FAIL","For orders under $35, you can use Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, Shop Pay, Affirm (split into 4 payments), Klarna (pay in 30 days or 4 installments), or Afterpay (4 interest-free payments) as payment methods.","FAIL","For orders under $35, you can use Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, Shop Pay, Affirm (split into 4 payments), Klarna (pay in 30 days or 4 installments), or Afterpay (4 interest-free payments) as payment methods.","FAIL","N/A",""
"Can I get a corporate bulk order of gift cards shipped to Canada?","Yes, bulk orders (10+ cards) available, international shipping rates calculated at checkout","Yes, corporate bulk orders of gift cards are available and can be shipped to Canada. International shipping rates will be calculated at checkout based on the destination and package weight. Please note that customers are responsible for any customs duties or import taxes.","PASS","N/A","","Yes, corporate bulk orders of gift cards are available and can be shipped to Canada. International shipping rates will be calculated at checkout based on the destination and package weight. Please note that customers are responsible for any customs duties or import taxes.","PASS","Yes, corporate bulk orders of gift cards are available and can be shipped to Canada. International shipping rates will be calculated at checkout based on the destination and package weight. Please note that customers are responsible for any customs duties or import taxes.","PASS","Yes, corporate bulk orders of gift cards are available and can be shipped to Canada. International shipping rates will be calculated at checkout based on the destination and package weight. Please note that customers are responsible for any customs duties or import taxes.","PASS","N/A","","Yes, corporate bulk orders of gift cards are available and can be shipped to Canada. Please note that international shipping rates will be calculated at checkout based on the destination and package weight. Customers are responsible for any customs duties or import taxes.","PASS","Yes, corporate bulk orders of gift cards are available and can be shipped to Canada. International shipping rates will be calculated at checkout based on the destination and package weight. Please note that customers are responsible for any customs duties or import taxes.","PASS","Yes, corporate bulk orders of gift cards are available and can be shipped to Canada. Please note that international shipping rates will be calculated at checkout based on the destination and package weight. Customers are responsible for any customs duties or import taxes.","PASS","N/A",""
"Can I ship overnight to a PO Box in Canada?","No, overnight shipping is not available for PO Boxes, and international shipping uses calculated rates (not overnight option)","I'm sorry, but overnight shipping is not available for PO Boxes.","FAIL","N/A","","Unfortunately, overnight shipping is not available for PO Boxes.","FAIL","No, overnight shipping is not available for PO Boxes.","FAIL","No, overnight shipping is not available for PO Boxes.","FAIL","N/A","","I'm sorry, but overnight shipping is not available for PO Boxes.","FAIL","I'm sorry, but overnight shipping is not available for PO Boxes.","FAIL","I'm sorry, but overnight shipping is not available for PO Boxes.","FAIL","N/A",""
"I returned an item 25 days after purchase - will I get a refund or store credit?","Full refund to original payment method - returns are accepted within 30 days","Since you returned the item within 30 days of purchase and it meets the return policy criteria, you should be eligible for a refund to the original payment method.","PASS","N/A","","Since you returned the item within 30 days of the original purchase date and it meets the return policy requirements, you should be eligible for a refund to the original payment method. Please allow 5-7 business days for inspection and processing once the return is received.","PASS","Since you returned the item within 30 days of the original purchase date and it meets the return policy requirements, you should be eligible for a refund to the original payment method. Please allow 5-7 business days for processing once the return is received.","PASS","Based on our return policy, since you returned the item within 30 days of purchase and it meets the criteria of being unused and in its original packaging, you should be eligible for a refund to the original payment method.","PASS","N/A","","Based on our return policy, since you returned the item within 30 days of purchase and it meets the criteria of being unused and in its original packaging with tags attached, you should be eligible for a refund to the original payment method.","PASS","Based on our return policy, since you returned the item within 30 days of the original purchase date and it meets the criteria of being unused and in its original packaging with all tags attached, you should be eligible for a refund to the original payment method.","PASS","Since you returned the item within 30 days of purchase and it meets the return policy requirements, you should be eligible for a refund to the original payment method.","PASS","N/A",""
"Can I use Affirm to buy a $30 item?","No, buy now pay later options require orders over $35","Unfortunately, Affirm is only available for orders over $35. You may want to consider using another payment option for the $30 item.","PASS","N/A","","Unfortunately, Affirm is only available for orders over $35. You may want to consider using another payment option for the $30 item.","PASS","Unfortunately, you cannot use Affirm for a $30 item as buy now, pay later options are available at checkout for orders over $35. You may want to consider using a different payment method for this purchase.","PASS","Unfortunately, Affirm is only available for buy now, pay later options for orders over $35. You may want to consider using another payment method for the $30 item.","PASS","N/A","","Buy now, pay later options like Affirm are available for orders over $35. Since the item is $30, you may not be able to use Affirm for this specific purchase.","PASS","Unfortunately, you cannot use Affirm to buy a $30 item as the buy now, pay later options are available at checkout for orders over $35. You may want to consider using another payment method for this purchase.","PASS","Unfortunately, Affirm is only available for orders over $35. You may want to consider using another payment method for the $30 item.","PASS","N/A",""
"I placed an order at 2:30pm EST with overnight - when does it arrive?","Ships next business day since after 2pm cutoff, arrives in 2 days not tomorrow","Since you placed your order after 2:00 PM EST, it will ship the next business day. With overnight shipping, your order should arrive the following business day after it ships.","FAIL","N/A","","Since you placed your order after 2:00 PM EST, it will ship the next business day. With overnight shipping, your order should arrive the following business day after it has been shipped.","PASS","Since you placed your order after 2:00 PM EST, it will ship the next business day. With overnight shipping, your order should arrive the following business day after it ships.","FAIL","Since you placed your order after 12pm EST, it will ship the next business day. Therefore, your order with overnight shipping should arrive the following business day after it has been shipped.","FAIL","N/A","","Since you placed your order after 2:00 PM EST, it will ship the next business day. With overnight shipping, your order should arrive the following business day after it has been shipped.","FAIL","Since you placed your order after 12pm EST, it will ship the next business day. Therefore, your order with overnight shipping will arrive one business day after it has been shipped.","FAIL","Since you placed your order after 2:00 PM EST, it will ship the next business day. With overnight shipping, it should arrive the following business day after it ships.","FAIL","N/A",""
"Can I ship express to a PO Box in the US?","No, express and overnight shipping are not available for PO Box addresses","Express shipping is not available for PO Boxes.","PASS","N/A","","Express shipping is not available for PO Boxes.","PASS","Express shipping is not available for PO Boxes. You would need to provide a physical address for delivery via FedEx Express or UPS 2nd Day Air.","PASS","Express shipping is not available for PO Boxes.","PASS","N/A","","Express shipping is not available for PO Boxes in the US.","PASS","Express shipping is not available for PO Boxes.","PASS","Express shipping is not available for PO Boxes in the US.","PASS","N/A",""
"I want to buy a $25 item with Afterpay - is that allowed?","No, Afterpay requires orders over $35 minimum","Unfortunately, Afterpay is only available for orders over $35. You may want to consider using a different payment method for your $25 purchase.","PASS","N/A","","Unfortunately, Afterpay is only available for orders over $35. You would need to add more items to your cart to be eligible for Afterpay.","PASS","Unfortunately, Afterpay is only available for orders over $35. You may need to consider an alternative payment method for the $25 item.","PASS","Unfortunately, Afterpay is only available for orders over $35. You may need to consider an alternative payment method for the $25 item.","PASS","N/A","","Unfortunately, Afterpay requires orders to be over $35 for eligibility. You may need to consider an alternative payment method for the $25 item.","PASS","Unfortunately, Afterpay is only available for orders over $35. You may need to add more items to your cart to be eligible for Afterpay.","PASS","Unfortunately, Afterpay is only available for orders over $35. You may want to consider using another payment method for your $25 purchase.","PASS","N/A",""
"My underwear arrived with a defect - can I return it even though intimates are non-returnable?","Yes, defective items can be returned regardless of category - contact support within 48 hours with photos","Yes, you can return your defective underwear for a replacement or refund. Defective items are an exception to the non-returnable policy for intimates. Please contact support within 48 hours of delivery with photos of the defect to initiate the return process.","PASS","N/A","","Yes, you can return your defective underwear for a replacement or refund. Defective items are an exception to the non-returnable policy for intimates. Please contact support within 48 hours of delivery with photos of the defect to initiate the return process.","PASS","Yes, you can return your defective underwear for a replacement or refund. Defective items, including intimates, are eligible for free return shipping and a replacement or refund. Please contact support within 48 hours of delivery with photos of the defect to initiate the return process.","PASS","Yes, for defective intimates like underwear, you can still return it for a replacement or refund. Please contact support within 48 hours of delivery with photos of the defect to initiate the return process.","PASS","N/A","","Yes, for defective intimates like underwear, you can still return it for a replacement or refund with free return shipping. Just contact support within 48 hours of delivery with photos of the defect.","PASS","Yes, you can return the defective underwear for a replacement or refund. Defective items are an exception to the non-returnable policy for intimates. Please contact support within 48 hours of delivery with photos of the defect to initiate the return process.","PASS","Yes, you can return your defective underwear. For defective items, including intimates, we offer free return shipping and will send a replacement or issue a full refund. Please contact support within 48 hours of delivery with photos of the defect to initiate the return process.","PASS","N/A",""
"I paid with Google Pay and a gift card - where does my refund go if I return?","Gift card portion refunds to gift card, Google Pay portion refunds to original payment method","If you paid with Google Pay and a gift card, your refund will be issued back to the original payment methods - Google Pay and the gift card.","FAIL","N/A","","If you paid with Google Pay and a gift card, your refund will be issued back to the original payment methods - Google Pay and the gift card.","FAIL","If you paid with Google Pay and a gift card, your refund will go back to the original payment method used for the purchase. Since gift card refunds are issued back to a gift card, the portion paid with the gift card will be refunded to the gift card, and the portion paid with Google Pay will be refunded to Google Pay.","PASS","If you paid with Google Pay and a gift card, your refund will be issued back to the original payment method. Since gift card refunds are returned to a gift card, the portion paid with the gift card will be refunded to the gift card and the remaining amount paid with Google Pay will be refunded to that method.","PASS","N/A","","If you paid with Google Pay and a gift card, your refund will go back to the original payment methods used - Google Pay and the gift card.","PASS","If you paid with Google Pay and a gift card, your refund will be issued back to the original payment methods - Google Pay and the gift card.","FAIL","If you paid with Google Pay and a gift card, your refund will be issued back to the original payment method. This means that the refund will be split between your Google Pay account and a new gift card.","FAIL","N/A",""
"SUMMARY","Pass Rate","16/21","76.2%","N/A","N/A","17/21","81.0%","17/21","81.0%","17/21","81.0%","N/A","N/A","18/21","85.7%","17/21","81.0%","17/21","81.0%","N/A","N/A"
